pubmed_id	abstrct
12529	The effects of kinins on the level of norepinephrine, dopamine, and serotonin and on their metabolites, i.e., normetanephrine, homovanillic acid, and 5-hydroxyindoloacetic acid in the brain tissue divided into cerebellum, corpus striatum, cortex, hippocampus, hypothalamus, medulla oblongata, and midbrain were investigated. It was shown that bradykinin in a dose of 4 mug decreased the content of norepinephrine in corpus striatum, midbrain, and cerebellum. It also decreased the level of dopamine in corpus striatum but increased the level of serotonin in corpus striatum and midbrain. Similar changes were observed with 100 Mu/kg of kallikrein. It was that changed levels of investigated neuromediators are accompanied by changed levels of their metabolites. Bradykinin, in a dose of 4 mug, decreased the level of normetanephrine in corpus striatum, hippocampus, and midbrain and the level of homovanillic acid in corpus striatum, and increased the level of 5-hydroxyindoloacetic acid in corpus striatum and hippocampus. It was also shown that bradykinin increased norepinephrine uptake by the blood platelets when its level in the platelets was low, and released the absorbed norepinephrine into the medium when the level of norepinephrine was higher. The above results confirm the existence of an interaction of kinins with neuromediators in the central nervous system.
44543	Activity of membrane-bound gamma-glutamyl transpeptidase (gamma-GTP) was examined in various regions of mouse brain, in capillaries of the cerebral cortex and in telencephalic choroid plexuses. The level of activity in the capillaries was double and that of the choroid plexus nine times that of the gamma-GTP activity found in the brain, septum, hippocampus, hypothalamus, thalamus, cerebellum, frontal cortex, pons, medulla oblongata, and amygdala. Histochemically the gamma-GTP activity was demonstrated in the surface membranes of choroidal cells and in the endothelium of small capillaries. The activities of gamma-GTP of cerebral cortex, choroid plexus, and capillaries from rabbit were 5--17 times greater than those from corresponding areas of mouse brain. While 30 mM methionine stimulated (in vitro) the enzyme from mouse brain, no such effect was observed with the enzyme activity from rabbit brain. The gamma-GTP activity from the capillaries of cerebral cortex of both mouse and rabbit was not affected by the presence of methionine. These findings suggest existence of differences in the specificity of gamma-GTP activity in these two species.
56207	In 5 squirrel monkeys the anatomical projections from the 'cingular' vocalization area were studied by the autoradiographic tracing technique. The 'cingular' vocalization area lies around the sulcus cinguli at the level of the genu of the corpus callosum; its electrical stimulation yields purring and cackling calls. The following efferent connections were found: corticocortical fibers could be traced into the orbital cortex (areas 10 and 11), dorsomedial frontal cortex (areas 9, 8 and 6), limbic cortex (areas 25, 24 and 23), Broca's area (area 44), frontal operculum (area 50), insula (areas 13 and 14), and auditory association cortex (area 22). Subcortical terminal fields within the telencephalon were found in the nucleus caudatus, putamen, claustrum, globus pallidus, olfactory tubercle, preoptic region and nucleus centralis and basolateralis amygdalae. Fibers reached most of these structures along different trajectories. In the diencephalon terminal fields lay in the dorsal hypothalamus, the subthalamus, lateral habenular nucleus, and the following thalamic nuclei: nucleus reticularis, ventralis anterior, centralis medialis, centralis superior lateralis, centralis inferior, submedius, medialis dorsalis and centrum medianum. In the midbrain, the periaqueductal gray was the only projection area, extending into the parabrachial nuclei at the pontomesencephalic transition. The most caudal terminal field was found in the medial pontine gray. No terminals were detected in the nucleus ambiguus, nucleus n. hypoglossi or in any other cranial motor nucleus involved in phonation processes. A comparison of this projection system with the whole of structures producing vocalization when electrically stimulated yielded only partial overlap. Not all vocalization areas lie within the 'cingular' projection system, and inversely, not the whole projection system yielded vocalization. Overlap took place in the anterior limbic cortex, preoptic region, central amygdaloid nucleus, midline thalamus, dorsal hypothalamus, periaqueductal gray and parabrachial nuclei. These structures are considered to compose a functionally coherent vocalization system. The projections into Broca's area, nucleus ventralis anterior thalami, frontoopercular cortex within the lateral fissure, pontine nuclei and superior temporal gyrus are discussed in their possible relationship to vocalization processes.
57820	The projections of serotonin-containing neurons of the midbrain raphe nuclei (nucleus raphe dorsalis, nucleus centralis superior) are studied by analysis of axonal transport of labeled amino acids. These results are correlated with regional alterations of serotonin content following midbrain raphe lesions which produce significant serotonin depletion in nearly all regions of the central nervous system. Twenty-four hours following injection of 100 muCi [3H]proline, raphe neurons have taken up labeled material and transported it, presumably as protein, to telencephalon, diencephalon, brain stem, the cerebellum and the spinal cord. This transport appears to take place predominantly in serotonin neurons. After injection of 100 muCi [3H]5-HTP into nucleus raphe dorsalis or nucleus centralis superior, the pattern of regional distribution of transported material is very similar to that obtained with tritiated proline. Selective lesions of serotonin terminals with 5.6-DHT result in greatly diminished axonal transport of proteins to all telencephalic, diencephalic and mesencephalic areas as well as to cerebellum, pons-medulla and spinal cord. Unilateral destruction of the medial forebrain bundle results in significant reduction in axonal transport of labeled material to ipsilateral telencehalon and thalamus. These results provide further support for the view that serotonin neurons of the midbrain raphe nuclei project widely throughout the neuraxis to telencephalon, diencephalon, brain stem, cerebellum and spinal cord.
61975	The efferent connections of the ventromedial nucleus of the hypothalamus (VMH) of the rat have been examined using the autoradiographic method. Following injections of small amounts (0.4-2.0 muCi) of tritium labeled amino acids, fibers from the VMH can be traced forward through the periventricular region, the medial hypothalamus and the medial forebrain bundle to the preoptic and thalamic periventricular nuclei, to the medial and lateral preoptic areas, to the bed nucleus of the stria terminalis and to the ventral part of the lateral septum. Some labeled axons continue through the bed nucleus of the stria terminalis into the stria itself, and hence to the amygdala, where they join other fibers which follow a ventral amygdalopetal route from the lateral hypothalamic area and ventral supraoptic commissure. These fibers terminate in the dorsal part of the medial amygdaloid nucleus and in the capsule of the central nucleus. A lesser number of rostrally directed fibers from the VMH crosses the midline in the ventral supraoptic commissure and contributes a sparse projection to the contralateral amygdala. Descending fibers from the VMH take three routes: (i) through the medial hypothalamus and medial forebrain bundle; (ii) through the periventricular region; and (iii) bilaterally through the ventral supraoptic commissure. These three pathways are interconnected by labeled fibers so that it is not possible to precisely identify their respective terminations. However, the periventricular fibers seem to project primarily to the posterior hypothalamic area and central gray, as far caudally as the anterior pole of the locus coeruleus, while the medial hypothalamic and medial forebrain bundle fibers apparently terminate mainly in the capsule of the mammillary complex, in the supramammillary nucleus and in the ventral tegmental area. The ventral supraoptic commissure fibers leave the hypothalamus closely applied to the medial edges of the two optic tracts. After giving off their contributions to the amygdala, they continue caudally until they cross the dorsal edge of the cerebral peduncle to enter the zona incerta. Some fibers probably terminate here, but others continue caudally to end in the dentral tegmental fields, and particularly in the peripeduncular nucleus. Within the hypothalamus, the VMH appears to project extensively to the surrounding nuclei. However, we have not been able to find evidence for a projection from the VMH to the median eminence. Isotope injections which differentially label the dorsomedial or the ventrolateral parts of the VMH have shown that most of the long connections (to the septum, amygdala, central tegmental fields and locus coeruleus) originate in the ventrolateral VMH, and there is also some evidence for a topographic organization within the projections of this subdivision of the nucleus.
62770	The axoplasmic retrograde transport of horseradish peroxidase (HRP) from axon terminals to their parent cell bodies and histochemical fluorescence microscopy have been used to study the ipsilateral centrifugal fibers to the olfactory bulbs and anterior olfactory nucleus in the rabbit. Focal injections of peroxidase were placed unilaterally into the main or accessory olfactory bulb or into the anterior olfactory nucleus. In animals with injected HRP confined within the main bulb, perikarya retrogradely labeled with the protein in the ipsilateral forebrain were observed in the anterior prepyriform cortex horizontal limb of the nucleus of the diagonal band, and far lateral preoptic and rostral lateral hypothalamic areas. Brain stem cell groups that contained HRP-positive somata include the locus coeruleus and midbrain dorsal raphe nucleus. Except for the prepyriform cortex, the basal forebrain structures with labeled perikarya correlate well with locations of cell bodies containing acetylcholinesterase and choline acetyltransferase. These somata may represent a cholinergic afferent system to the main olfactory bulb. Peroxidase-labeled cell bodies in the locus coeruleus and midbrain raphe are indicative of noradrenergic and serotonergic innervations respectively of the olfactory bulb. In rabbits in which peroxidase was injected or diffused into the accessory olfactory bulb and anterior alfactory nucleus, HRP-positive somata were identified in the prepyriform cortex bilaterally, the horizontal limb of the diagonal band nucleus, lateral hypothalamic region, nucleus of the lateral olfactory tract, corticomedial complex of the amygdala, mitral and tufted cell layers of the ipsilateral main olfactory bulb, locus coeruleus, and the midbrain raphe. Evidence for centrifugal fibers to the accessory olfactory bulb from the corticomedial complex of the amygdala, locus coeruleus, and possibly the nucleus of the lateral olfactory tract and midbrain raphe is discussed. A similar distribution of labeled perikarya in the forebrain and brain stem was seen in rats in which peroxidase injected into the main olfactory bulb had spread into the accessory bulb and anterior olfactory nucleus. Histochemical fluorescence microscopy of the main and accessory olfactory bulbs in the rabbit and rat revealed fine caliber, green fluorescent fibers and varicosities predominantly in the granule cell layer and less so among cells in the glomerular layer. In sections through the root of the main olfactory bulb, a similar fluorescence was seen in the deep half of the plexiform layer of the pars externa of the anterior alfactory nucleus. These fluorescent fibers likely represent the noradrenergic innervation of the olfactory bulbar and retrobulbar formations. A fluorescent yellow hue was observed in the glomerular layer of the main bulb and may signify a serotonergic innervation of this lamina...
63306	Experiments were performed by either retrograde (horseradish peroxidase histochemistry) or anterograde ([3H]leucine radioautography) transport methods to determine the efferent connections of the septum in the rat. It was observed that the dorsal septum projects to the lateral preoptic area, lateral hypothalamus, periventricular hypothalamus and midline thalamus. Fibers from the ventral half of the septum project topographically to the hippocampal formation, thalamus, hypothalamus and midbrain. Specifically, neurons located along the midline in the vertical limb of the diagonal band project through the dorsal fornix to all CA fields of the dorsal hippo campus and adjacent subicular cortex. Other fibers from this region project through the stria medullaris to the medial habenular nucleus and anteromedial nuclhe pars posterior of the medial mammillary nucleus. Cells located immediately lateral to the midline in the vertical limb of the diagonal band project through the medial part of the fimbria to all CA fields of the posterior hippocampus and adjacent subicular cortex. Other fibers which originate from this region project through the stria medullaris to both the medial and lateral habenular nuclei and the paratenial nucleus of the thalamus, and through the medial forebrain bundle to the pars posterior of the medial mammillary nucleus. Cells located in the intermediolateral septum project through the lateral part of the fimbria to all CA fields of the ventral hippocampus and adjacent subicular and entorhinal cortices. These cells also send fibers through the stria medullaris to the lateral habenular nucleus and mediodorsal thalamic nucleus. Other axons arising from these cells descend through the medial forebrain bundle to terminate in a region dorsal to the interpeduncular nucleus. Fibers from the most lateral part of the ventrl septum (i.e., bed nucleus of the anterior commissure) project through the stria terminalis to the ventral subiculum. In addition, cells located in the horizontal limb of the diagonal band project massively to the pars posterior of the medial mammillary nucleus and the ventral tegmental area, and amygdala.
64477	The mediodorsal nucleus of the rat thalamus has been divided into medial, central and lateral segments on the basis of its structure and axonal connections, and these segments have been shown by experiments using the autoradiographic method of demonstrating axonal connections to project to seven distinct cortical areas covering most of the frontal pole of the hemisphere. The position and cytoarchitectonic characteristics of these areas are described. The medial segment of the nucleus projects to the prelimbic area (32) on the medial surface of the hemisphere, and to the dorsal agranular insular area, dorsal to the rhinal sulcus on the lateral surface. The lateral segment projects to the anterior cingulate area (area 24) and the medial precentral area on the dorsomedial shoulder of the hemisphere, while the central segment projects to the ventral agranular insular area in the dorsal bank of the rhinal sulcus, and to a lateral part of the orbital cortex further rostrally. (The term "orbital" is used to refer to the cortex on the ventral surface of the frontal pole of the hemisphere.) A ventral part of this orbital cortex also receives fibers from the mediodorsal nucleus, possibly its lateral segment, but the medial part of the orbital cortex, and the ventrolateral orbital area in the fundus of the rhinal sulcus receive projections from the paratenial nucleus and the submedial nucleus, respectively. All of these thalamocortical projections end in layer III, and in the outer part of layer I. The basal nucleus of the ventromedial complex (the thalamic taste relay) has been shown to have a similar laminar projection (layer I and layers III/IV) to the granular insular area immediately dorsal to, but not overlapping, the mediodorsal projection field. However, the principal nucleus of the ventromedial complex appears to project to layer I, and possibly layer VI, of the entire frontal pole of the hemisphere. The anteromedial nucleus does not appear to project to layer III of the projection field of the mediodorsal nucleus, although it may project to layers I and VI, especially in the anterior cingulate and medial precentral areas. A thalamoamygdaloid projection from the medial segment of the mediodorsal nucleus to the basolateral nucleus of the amygdala has also been demonstrated, which reciprocates an amygdalothalamic projection from the basolateral nucleus to the medial segment. The habenular nuclei also appear to project to the central nucleus of the amygdala. These results are discussed in relation to the delineation and subdivision of the prefrontal cortex in the rat, and to amygdalothalamic and amygdalocortical projections which are described in a subsequent paper (Krettek and Price, '77).
65364	The efferent connections of the hippocampal formation of the rat have been re-examined autoradiographically following the injection of small quantities of 3H-amino acids (usually 3H-proline) into different parts of Ammon's horn and the adjoining structures. The findings indicate quite clearly that each component of the hippocampal formation has a distinctive pattern of efferent connections and that each component of the fornix system arises from a specific subdivision of the hippocampus or the adjoining cortical fields. Thus, the precommissural fornix has been found to originate solely in fields CA1-3 of the hippocampus proper and from the subiculum; the projection to the anterior nuclear complex of the thalamus arises more posteriorly in the pre- and/or parasubiculum and the postsubicular area; the projection to the mammillary complex which comprises a major part of the descending columns of the fornix has its origin in the dorsal subiculum and the pre- and/or parasubiculum; and finally, the medial cortico-hypothalamic tract arises from the ventral subiculum. The lateral septal nuclei (and the adjoining parts of the posterior septal complex) constitute the only subcortical projection field of the pyramidal cells in fields CA1-3 of Ammon's horn. There is a rostral extension of the pre-commissural fornix to the bed nucleus of the stria terminalis, the nucleus accumbens, the medial and posterior parts of the anterior olfactory nucleus, the taenia tecta, and the infralimbic area, which appears to arise from the temporal part of field CA1 or the adjacent part of the ventral subiculum. The projection of Ammon's horn upon the lateral septal complex shows a high degree of topographic organization (such that different parts of fields CA1 and CA3 project in an ordered manner to different zones within the lateral septal nucleus). The septal projection of "CA2" and field CA3 is bilateral, while that of field CA1 is strictly unilateral. In addition to its subcortical projections, the hippocampus has been found to give rise to a surprisingly extensive series of intracortical association connections. For example, all parts of fields CA1, CA2 and CA3 project to the subiculum, and at least some parts of these fields send fibers to the pre- and parasubiculum, and to the entorhinal perirhinal, retrosplenial and cingulate areas. From the region of the pre- and parasubiculum there is a projection to the entorhinal cortex and the parasubiculum of both sides. That part of the postsubiculum (= dorsal part of the presubiculum) which we have examined has been found to project to the cingulate and retrosplenial areas ipsilaterally, and to the entorhinal cortex and parasubiculum bilaterally.
76452	The Fink-Heimer silver impregnation and the autoradiographic methods were used to study the fiber projections of the cingulate cortex in the squirrel monkey. It was found that this cortex provides inputs to the straitum, thalamus and several areas of isocortex. Evidence was found for a number of fiber projections (1) Fibers from the anterior limbic area were traced to the central part of the head of the caudate nucleus, putamen, septum, dorsomedial nucleus of the thalamus, anterior hypothalamus and lateral basal nucleus of the amygdala. (2) Projections from the cingulate area were traced to the lateral part of the head of the caudate nucleus, putamen, and to the centromedian, anterior, lateral dorsal, and lateral ventral thalamic nuclei and to medial nuclei of the base of the pons. (3) There were porjections from the retrosplenial area of the anterior, lateral dorsal, dorsomedial, and posterior thalamic nuclei and lateral nuclei of the pons. These results indicate that most of the cingulate gyrus is an intermediate structure between the thalamus and overlying cortex. The anterior limbic area forms a bridge between the thalamus and other areas of the cingulate gyrus and the frontal cortex. (4) the retrosplenial area and the posterior part of the cingulate area bridge the adjacent visual snesory association cortex and pelvic areas of the snesory motor cortex, respectively. These areas of the cingulate gyrus project directly to the striatum as well as to the thalamus, structurally providing limbic system input to subcortical motor structures.
