pre-supplementary motor area
nucleus of medial eminence
stratum zonale of thalamust
spinothalamic tract of pons
uncinate fasciculus of pons
hemisphere of anterior lobe
lenticular fasciculus of telencephalon
inferior frontal sulcus (h)
medial lemniscus of pons
dorsal paramedian reticular nucleus
superior frontal sulcus (h)
cave of septum pellucidum
dorsal entorhinal area 34
lateral occipital gyrus (h)
lateral eminence of hypophysis
brachium of superior colliculus
splenium of corpus callosum
lateral medullary reticular group
lamina of septum pellucidum
ventral paramedian reticular nucleus
medial lemniscus of medulla
vermis of posterior lobe
anterior parolfactory sulcus (h)
precentral fissure of cerebellum
anterior occipital sulcus (h)
ventrolateral fissure of midbrain
caudal central oculomotor nucleus
lateral superior olivary nucleus
anterior calcarine sulcus (h)
nucleus of ansa lenticularis
dorsolateral fasciculus of medulla
inferior precentral sulcus (h)
superior occipital gyrus (h)
posterior column of fornix
first short gyrus (h)
paraventricular nucleus of hypothalamus
tuberal part of hypophysis
tenia of fourth ventricle
isthmus of cingulate gyrus
posterior calcarine sulcus (h)
transverse temporal sulcus (h)
medial superior olivary nucleus
spinothalamic tract of midbrain
raphe nuclei of medulla
arcuate nucleus of hypothalamus
postcentral fissure of cerebellum
tail of caudate nucleus
commissure of inferior colliculus
principal inferior olivary nucleus
granular retrolimbic area 29
nucleus of stria terminalis
nucleus of optic tract
occipitotemporal area 37 (h)
decussation of medial lemniscus
ventral external arcuate fibers
middle temporal sulcus (m)
posterior nucleus of thalamus
hilum of inferior olive
hemisphere of posterior lobe
genu of internal capsule
spinothalamic tract of medulla
stria medullaris of thalamus
commissure of superior colliculus
nucleus of diagonal band
posterior lobe of cerebellum
head of caudate nucleus
body of caudate nucleus
parainsular area 52 (h)
inferior occipital gyrus (m)
mammillothalamic tract of thalamus
body of lateral ventricle
intermediate short gyrus (h)
inferior calcarine sulcus (m)
cingulate cortex, area 2
lateral orbital sulcus (m)
dorsal external arcuate fibers
nucleus of field h
posterior marginal sulcus (h)
basal part of pons
primary fissure of cerebellum
central medullary reticular group
agranular retrolimbic area 30
vermis of anterior lobe
supramarginal area 40 (h)
oral pontine reticular nucleus
accessory short gyrus (h)
second short gyrus (h)
superior rostral sulcus (h)
genu of corpus callosum
capsule of subthalamic nucleus
interstitial nucleus of cajal
amiculum of dentate nucleus
peduncle of superior olive
long insular gyri (h)
accessory paramedian reticular nucleus
anterior median oculomotor nucleus
nucleus of pretectal area
accessory basal amygdaloid nucleus
inferior rostral sulcus (h)
decussation of trochlear nerve
distal part of hypophysis
hilus of dentate gyrus
middle frontal sulcus (h)
circular sulcus of insula
middle frontal area 46
dorsomedial nucleus of hypothalamus
gracile fasciculus of medulla
mammillothalamic tract of hypothalamus
anterior accessory gyrus (h)
anterior lobe of cerebellum
retro-olivary cell group
inferior occipital sulcus (m)
anterior nucleus of hypothalamus
caudal pontine reticular nucleus
body of corpus callosum
posterior nucleus of hypothalamus
nucleus of posterior commissure
agranular frontal area 6
ventromedial nucleus of hypothalamus
pars nervosa of hypophysis
cuneate fasciculus of medulla
amiculum of inferior olive
paramedian medullary reticular group
nucleus of anterior commissure
brachium of inferior colliculus
inferior temporal sulcus (h)
anterior column of fornix
anterior subcentral sulcus (m)
hilum of dentate nucleus
transverse occipital sulcus (h)
rostrum of corpus callosum
paraventricular nucleus of thalamus
cistern of lamina terminalis
transverse orbital sulcus (h)
medial lemniscus of midbrain
medial orbital sulcus (m)
temporopolar area 38 (h)
capsule of red nucleus
anterior subcentral sulcus (h)
arcuate nucleus of medulla
intermediate part of hypophysis
fronto-orbital gyrus (m)
superior calcarine sulcus (m)
lateral occipital sulcus (h)
short insular gyri (h)
cingulate cortex, area 1
dorsolateral fissure of midbrain
